id,Start_X,Start_Y,End_X,End_Y
,-117.346,52.211,-117.347,52.204
,-117.347,52.204,-117.330,52.196
,-116.856,51.735,-116.850,51.714
,-116.850,51.714,-116.826,51.690
,-116.779,51.735,-116.780,51.725
,-116.779,51.735,-116.745,51.755
,-116.682,51.791,-116.669,51.772
,-116.669,51.772,-116.674,51.753
,-116.674,51.753,-116.659,51.709
,-116.659,51.709,-116.635,51.698
,-116.635,51.698,-116.633,51.668
,-116.633,51.668,-116.639,51.648
,-116.639,51.648,-116.609,51.631
,-116.609,51.631,-116.594,51.613
,-116.564,51.600,-116.570,51.583
,-116.570,51.583,-116.555,51.553
,-116.555,51.553,-116.535,51.534
,-116.511,51.525,-116.535,51.534
,-116.511,51.525,-116.514,51.497
,,,,
,-116.514,51.497,-116.514,51.473
,-116.514,51.473,-116.509,51.466
,-116.509,51.466,-116.505,51.449
,-116.505,51.449,-116.473,51.440
,-116.473,51.440,-116.450,51.438
,-116.450,51.438,-116.454,51.421
,-116.454,51.421,-116.452,51.404
,-116.452,51.404,-116.448,51.382
,-116.448,51.382,-116.461,51.375
,-116.461,51.375,-116.466,51.352
,-116.466,51.352,-116.448,51.329
,-116.448,51.329,-116.457,51.313
,-116.457,51.313,-116.445,51.301
,-116.445,51.301,-116.438,51.285
,-116.438,51.285,-116.414,51.265
,-116.414,51.265,-116.402,51.278
,-116.402,51.278,-116.376,51.271
,-116.376,51.271,-116.374,51.242
,-116.374,51.242,-116.342,51.225
,-116.342,51.225,-116.327,51.225
,-116.327,51.225,-116.309,51.215
,-116.309,51.215,-116.307,51.199
,-116.307,51.199,-116.282,51.189
,-116.282,51.189,-116.272,51.172
,-116.299,51.148,-116.272,51.172
,-116.299,51.148,-116.279,51.126
,-116.279,51.126,-116.275,51.112
,-116.275,51.112,-116.275,51.095
,-116.275,51.095,-116.257,51.088
,-116.257,51.088,-116.244,51.070
,-116.244,51.070,-116.227,51.056
,-116.227,51.056,-116.216,51.062
,-116.216,51.062,-116.170,51.047
,-116.170,51.047,-116.162,51.056
,-116.162,51.056,-116.144,51.043
,-116.144,51.043,-116.126,51.041
,-116.126,51.041,-116.137,51.026
,-116.137,51.026,-116.110,50.994
,-116.110,50.994,-116.096,50.990
,-116.096,50.990,-116.082,50.996
,-116.082,50.996,-116.074,50.978
,-116.074,50.978,-116.063,50.975
,-116.063,50.975,-116.032,50.934
,-116.032,50.934,-116.026,50.896
,-116.026,50.896,-116.002,50.874
,-116.002,50.874,-115.995,50.861
,-115.995,50.861,-116.021,50.858
,-116.021,50.858,-116.057,50.845
,-116.057,50.845,-116.052,50.813
,-116.052,50.813,-116.042,50.807
,-116.042,50.807,-116.025,50.814
,-116.025,50.814,-116.006,50.807
,-116.006,50.807,-116.001,50.785
,-116.001,50.785,-115.984,50.753
,-115.984,50.753,-115.972,50.748
,-115.972,50.748,-115.965,50.751
,-115.965,50.751,-115.950,50.736
,-115.950,50.736,-115.947,50.722
,-115.947,50.722,-115.923,50.719
,-115.923,50.719,-115.911,50.701
,-115.911,50.701,-115.912,50.683
,-115.912,50.683,-115.887,50.673
,-115.887,50.673,-115.845,50.687
,-115.845,50.687,-115.844,50.668
,-115.844,50.668,-115.834,50.643
,-115.834,50.643,-115.818,50.626
,-115.818,50.626,-115.819,50.608
,-115.819,50.608,-115.842,50.602
,-115.842,50.602,-115.825,50.577
,-115.825,50.577,-115.808,50.558
,-115.808,50.558,-115.788,50.557
